Author,Text,Place of Publication,Date,Printer
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Toledo,1609,Rodriguez
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Lisboa,1611,Alvarez
"Lope de Vega Carpio, Fenix",Rimas,Milan,1611,Bordon
"Ledesma, Alonso de ",Juegos de Noche Buena,Madrid,1611,Martin
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Madrid,1616,Martin
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Barcelona,1616,Cormellas
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Lerida,1616,Manescal
"Manuel de Villegas, Esteban",Las eroticas o amatorias,Najera,1618,
"Suarez de Figueroa, Cristobal",Espana defendida,Madrid,1612,Cuesta
"Valdivielso, Jose de ",Sagrario de Toledo,Barcelona,1618,Liberos
Claramonte,Letania moral,Sevilla,1613,Clauxio
"Eslava, Antonio de",Noches de invierno,Barcelona,1609,Margarit
"Eslava, Antonio de",Noches de invierno,Pamplona,1609,Labayen
"Eslava, Antonio de",Noches de invierno,Bruselas,1610,Velpius
"Lope de Vega Carpio, Fenix",Cuatro romances nuevos,Sevilla,1601,Lorenzana
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1602,Madrigal
"Lope de Vega Carpio, Fenix",Isidro,Barcelona,1608,Anglada
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1605,Cuesta
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1609,Martin
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1613,Martin
"Lope de Vega Carpio, Fenix",Rimas sacras,Lisboa,1616,Crasbeeck
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1602,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Lisboa,1605,Alvarez
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1605,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1612,Margarit
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Valladolid,1613,Rueda
,Romancero general,Medina de Campo,1602,Godinez
,Romancero general,Valladolid,1602,Godinez
,Romancero general,Madrid,1604,Cuesta
,Romancero general,Madrid,1614,Cuesta
"Ledesma, Alonso de ",Juegos de Noche Buena,Madrid,1613,Martin
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Ocharte
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Lopez
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1612,Cuesta
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Valladolid,1613,Rueda
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Madrid,1612,Cuesta
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Lerida,1612,Manescal
"Jauregui, Juan de ",Rimas,Sevilla,1618,Valleto
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Madrid,1609,Cuesta
"Valdivielso, Jose de ",Sagrario de Toledo,Madrid,1616,Sanchez
"Lope de Vega Carpio, Fenix",Rimas,Sevilla,1604,Hidalgo
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Madrid,1615,Martin
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Barcelona,1607,Cendrat
