Author,Text,Place of Publication,Date,Printer
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1599,Sanchez
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1602,Madrigal
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1603,Madrigal
"Lope de Vega Carpio, Fenix",Isidro,Alcala,1607,Gracian
"Lope de Vega Carpio, Fenix",Isidro,Barcelona,1608,Anglada
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1613,Martin
"Lope de Vega Carpio, Fenix",La Dragontea,Valencia,1598,Mey
"Lope de Vega Carpio, Fenix",La Dragontea,,1602,Madrigal
"Lope de Vega Carpio, Fenix",La Dragontea,Barcelona,1604,Amello
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1602,Madrigal
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Barcelona,1604,Manescal
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1605,Cuesta
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Madrid,1609,Cuesta
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Barcelona,1609,
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Lisboa,1611,Alvarez
"Lope de Vega Carpio, Fenix",Rimas,Sevilla,1604,Hidalgo
"Lope de Vega Carpio, Fenix",Rimas,Barcelona,1604,Amello
"Lope de Vega Carpio, Fenix",Rimas,Lisboa,1605,Crasbeeck
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1609,Martin
"Lope de Vega Carpio, Fenix",Rimas,Milan,1611,Bordon
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1612,
"Lope de Vega Carpio, Fenix",Rimas,Barcelona,1612,
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1613,Martin
"Lope de Vega Carpio, Fenix",Rimas sacras,Madrid,1614,V. de Martin
"Lope de Vega Carpio, Fenix",Rimas sacras,Lerida,1615,Manescal
"Lope de Vega Carpio, Fenix",Rimas sacras,Lisboa,1616,Crasbeeck
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1600,Sanchez
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1602,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1603,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1603,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1604,Torre
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1604,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1604,Cendrat
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1605,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Lisboa,1605,Alvarez
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1605,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1606,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1606,Cendrat
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1607,Cormellas
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1608,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1609,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1612,Margarit
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1612,Cuesta
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Lerida,1612,Manescal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Valladolid,1613,Rueda
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Madrid,1613,Martin
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Madrid,1606,ImprentaReal
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Burgos,1606,Lasso
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Barcelona,1607,Cendrat
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Alcala,1607,Gracian
"Ledesma, Alonso de ",Conceptos espirituales Parte II,Valladolid,1613,Rueda
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Madrid,1612,Cuesta
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Lerida,1612,Manescal
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Madrid,1615,
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Madrid,1616,
"Ledesma, Alonso de ",Conceptos espirituales Parte III,Barcelona,1616,
"Ledesma, Alonso de ",Juegos de Noche Buena,Madrid,1611,Martin
"Ledesma, Alonso de ",Juegos de Noche Buena,Barcelona,1611,Cormellas
"Ledesma, Alonso de ",Juegos de Noche Buena,Zaragoza,1611,Robles
"Ledesma, Alonso de ",Juegos de Noche Buena,Madrid,1613,Martin
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Madrid,1615,Martin
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Madrid,1616,Martin
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Barcelona,1616,Cormellas
"Ledesma, Alonso de ",Romancero y monstruo imaginado,Lerida,1616,Manescal
,Segunda parte del Romancero general,Valladolid,1605,Sanchez
"Manuel de Villegas, Esteban",Las eroticas o amatorias,Najera,1618,
"Mexia de Fernangil, Diego",Primera parte del Parnaso antaritico,Sevilla,1608,Gamara
"Perez de Villagra, Gaspar",Historia de La Nueva Mexico,Alcala,1610,Martinez
"Quevedo y Villegas, Francisco de",Lagrimas de Hieremias castellanas,,1613,
,Romancero general,Madrid,1600,Sanchez
,Romancero general,Medina de Campo,1602,Godinez
,Romancero general,Valladolid,1602,Godinez
,Romancero general,Madrid,1604,Cuesta
,Romancero general,Madrid,1614,Cuesta
"Salas Barbadillo, Alonso Jeronimo",Rimas castellanas,Madrid,1618,Martin
"Suarez de Figueroa, Cristobal",Espana defendida,Madrid,1612,Cuesta
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Toledo,1612,Rodriguez
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Zaragoza,1613,Cabarte
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Valencia,1613,Chrysostomo
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Lerida,1616,Manescal
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Toledo,1618,Rodriguez
"Valdivielso, Jose de ",Romance de la Inmaculada concepcion,Sevilla,1616,Ramos
"Valdivielso, Jose de ",Romance de la Inmaculada concepcion,Zaragoza,1618,Larumbe
"Valdivielso, Jose de ",Sagrario de Toledo,Madrid,1616,Sanchez
"Valdivielso, Jose de ",Sagrario de Toledo,Barcelona,1618,Liberos
,Flor de las comedias de Espana de diferentes autores parte V,Madrid,1615,Sanchez
,Flor de las comedias de Espana de diferentes autores parte V,Barcelona,1616,Cormellas
,Flor de las comedias de Espana de diferentes autores parte V,Alcala,1615,V. de Martinez
"Castro, Guillen de",Primera parte de las comedias,Valencia,1618,Mey
"Cervantes Saavedra, Miguel",Ocho comedias y ocho entremeses nuevos nunca representados,Madrid,1615,Martinez
,,,,
,Cuatro comedias de diversos autores,Cordoba,1613,Cea
,Cuatro comedias de don Luis de Gongoray Lope de Vega,Madried,1613,Sanchez
,Cuatro comedias de don Luis de Gongoray Lope de Vega,Madrid,1617,Berrillo
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Valencia,1608,Mey
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Valencia,1609,Mey
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Barcelona,1609,Cormellas
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Madrid,1614,Serrano
"Jauregui, Juan de ",Aminta,Roma,1607,Paulino
,Seis comedias de Lope de Vera Carpio y de otros autores,Madrid,1603,Madrigal
"Lope de Vega Carpio, Fenix",Seis comedias de Lope de Vera Carpio y de otros autores,Lisboa,1603,Crasbeeck
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1604,Sanchez
"Lope de Vega Carpio, Fenix",Comedias parte I,Zaragoza,1604,Tavanno
"Lope de Vega Carpio, Fenix",Comedias parte I,Lisboa,1605,Rodriguez
"Lope de Vega Carpio, Fenix",Comedias parte I,Valencia,1605,Leget
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1605,Bostillos
"Lope de Vega Carpio, Fenix",Comedias parte I,Amberes,1607,Nucio
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1609,Bostillos
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1609,Martin
"Lope de Vega Carpio, Fenix",Comedias parte II,Valladolid,1609,Bostillos
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1610,Martin
"Lope de Vega Carpio, Fenix",Comedias parte II,Barcelona,1611,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte II,Valladolid,1611,Cuesta
"Lope de Vega Carpio, Fenix",Comedias parte II-Dos emisiones,Amberes,1611,Velpio/V.de Bellero
"Lope de Vega Carpio, Fenix",Comedias parte II,Lisboa,1612,Crasbeeck
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1618,Cuesta
"Lope de Vega Carpio, Fenix",Comedias parte III,Barcelona,1612,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte III,Madrid,1613,Serrano
"Lope de Vega Carpio, Fenix",Comedias parte III,Barcelona,1614,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte IV,Madrid,1614,Siles
"Lope de Vega Carpio, Fenix",Comedias parte IV,Barcelona,1614,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte IV,Pamplona,1614,Assiayn
"Lope de Vega Carpio, Fenix",Comedias parte V,Alcala,1615,Martinez
"Lope de Vega Carpio, Fenix",Comedias parte V,Barcelona,1616,
"Lope de Vega Carpio, Fenix",Comedias parte V,Barcelona,1617,
"Lope de Vega Carpio, Fenix",Comedias parte VI,Madrid,1615,Martin
"Lope de Vega Carpio, Fenix",Comedias parte VI,Madrid,1616,Cuesta
"Lope de Vega Carpio, Fenix",Comedias parte VI,Barcelona,1616,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte VII,Madrid,1617,
"Lope de Vega Carpio, Fenix",Comedias parte VII,Barcelona,1617,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Madrid,1617,Martin
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Barcelona,1617,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1617,Martin
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1618,
"Lope de Vega Carpio, Fenix",Comedias parte IX,Barcelona,1618,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte X,Madrid,1618,Martin
"Lope de Vega Carpio, Fenix",Comedias parte X,Barcelona,1618,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte XI,Madrid,1618,Martin
"Lope de Vega Carpio, Fenix",Comedias parte XI,Barcelona,1618,Cormellas
,Norte de la poesia espanola,Valencia,1616,Mey
"Suarez de Figueroa, Cristobal",El Pastor Fido,Valencia,1609,Mey
