Author,Title,Place of Publication,Year,Printer,Genre
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1603,Madrigal,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1605,Cuesta,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Anvers,1605,Nucio,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1611,Martin,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Lerida,1612,Manescal,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Barcelona,1615,Cormellas,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Anvers,1617,V. de Bellero,Prose
"Lope de Vega Carpio, Fenix",Coloquio pastoril,Malaga,1615,Rene,Prose
"Lope de Vega Carpio, Fenix",Coloquio pastoril,Madrid,1615,Serrano,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1604,,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Sevilla,1604,Hidalgo,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1605,,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1604,Cormellas,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1604,Cormellas,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1605,Cormellas,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Bruselas,1608,Velpio,Prose
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1618,Martin,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Madrid,1612,Cuesta,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen No la tengo,Lerida,1612,Manescal,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Lerida,1613,,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Pamplona,1612,Assiayn,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Madrid,1613,Martin,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Bruselas,1614,Velpio,Prose
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Alcala,1616,Gracian,Prose
