;Juan Bellero;Pedro Bellero;Augustin de Vergara;Carlos Felix de Vega;Pedro Zapata del Marmol;Miguel Menescal;Juan de Arguijo;Jorge de Tovar Berrio;Alonso Ordonez de San Pedro;Pedro Rodriguez;Pedro Lopez de Ayala, VI conde de Fuensalida;Clemente Hidalgo;Roig;Petrus Joannes Assensius;Francisco Miguel;Baltasar Eliseo de Medinilla;Jaime Rebullosa;Pedro Tellez-Giron y Velasco, Duque de Osuna;Alonso Martin;Juan de Bruschere;Alonso Gomez de encinas, Fray;Gabriel de Nao;Juan Gracian Dantisco;Juan Luis de la Cerda;Miguel de Ondarza Zabala;Juan de Bostillo;Felix Lope de Vega Carpio;Casilda de Guana Varona;Viuda de Pedro Bellero;Tomas Roca, Fray;Martin Nucio;Gaspar Leget;Valerian Boyl;Felipe III, Rey de Espana y Portugal;Antonio de Herrera;Francisco Pacheco;Conde de Saldana;Pedro Madrigal;Antonio de Saavedra Guzman;Alonso Vaca de Santiago;Alonso Perez;Alonso de Vallejo;Juan Gracian;Geronimo Alarcon;Pedro de Padilla, Fray;Francisco Martinez;Bernardo Grassa;Luis Sanchez;Antonio Ramirez de Prado;Domingo de Mendoza, Fray;Luis de Salazar
Pedro Lopez de Ayala, VI conde de Fuensalida;0;0;0;0;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clemente Hidalgo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0
Roig;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0.26666668;0;0;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0
Petrus Joannes Assensius;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0
Francisco Miguel;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0
Baltasar Eliseo de Medinilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.18253969;0;0;0;0;0;0;0.18253969;0;0.18253969;0.18253969;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jaime Rebullosa;0;0;0;0;0;0.33333334;0.5833333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5833333;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0.25;0;0;0;0;0
Pedro Tellez-Giron y Velasco, Duque de Osuna;0.2;0.2;0;0;0.6166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0;0;0;0;1.6;0;0;0.53333336;0.25;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0.2;1.2666667;0;0;0.25;0;0;0
Alonso Martin;0;0;0;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0.14285715;0;0;0;0.25396827;0;0.8095238;0.14285715;0;0;0;0;0;0;0;0;0;0;0;0;1.0873016;0.16666667;0;0;0.16666667;0;0;0;0;0;0
Juan de Bruschere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14285715;0;0;0;0;0;0.14285715;0.14285715;0.14285715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alonso Gomez de encinas, Fray;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14285715;0.14285715;0;0;0;0;0.4107143;0;0.66468257;0.53968257;0.14285715;0.14285715;0;0;0;0;0;0;0;0;0;0;0.2857143;0;0;0;0;0;0;0;0;0;0
Gabriel de Nao;0;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.16666667;0;0;0;0
Juan Gracian Dantisco;0;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0.30952382;0.33333334;0.72619045;0;0;0;0.25;0;0;0;0;0;0;0;0;0.30952382;0.14285715;0;0;0;0;0.16666667;0.72619045;0.14285715;0.5595238;0;0
Juan Luis de la Cerda;0;0;0;0.41666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0.41666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miguel de Ondarza Zabala;0;0;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25396827;0;0.4107143;0;0.30952382;0.16666667;0;0.16666667;1.1230159;0.2857143;0;0.14285715;0;0;0;0.31111112;0.2;0;0;0.2;0.2;0.30952382;0.53968257;0;0;0;0;0;0.30952382;0.14285715;0.30952382;0;0.2
Juan de Bostillo;0;0;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.33333334;0;0.16666667;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0;0;0.16666667;0.33333334;0;0.16666667;0;0
Felix Lope de Vega Carpio;0.2;0.2;0.29166666;0.41666666;0.6166667;0.33333334;0.5833333;0.3;0.2;0.2;0.2;1.25;0.26666668;0.16666667;0.16666667;0.18253969;0.5833333;1.6;0.8095238;0.14285715;0.66468257;0.16666667;0.72619045;0.41666666;1.1230159;0.33333334;0;0.53968257;0.14285715;0.6761905;0.5;0.16666667;0.16666667;0.18253969;0;0.18253969;0.18253969;0.41666666;0;0.30952382;1.1952381;0.53333336;0.16666667;0.2;1.8;0.6666667;1.1785715;0.5928571;0.5595238;0.53333336;0.53333336
